INDEX;NOME_STR;INSTITUICAO_ENSINO_ALUNO_2020_STR;IDADE_ALUNO_2020_INT;ANOS_PM_2020_INT;SINALIZADOR_INGRESSANTE_2020_STR;ANO_INGRESSO_2020_DATE;FASE_TURMA_2020_STR;FASE_2020_STR;TURMA_2020_STR;PONTO_VIRADA_2020_STR;INDE_2020_NUM;INDE_CONCEITO_2020_STR;PEDRA_2020_STR;DESTAQUE_IEG_2020_STR;DESTAQUE_IDA_2020_STR;DESTAQUE_IPV_2020_STR;IAA_2020_NUM;IEG_2020_NUM;IPS_2020_NUM;IDA_2020_NUM;IPP_2020_NUM;IPV_2020_NUM;IAN_2020_NUM;FASE_2021_STR;TURMA_2021_STR;INSTITUICAO_ENSINO_ALUNO_2021_STR;SINALIZADOR_INGRESSANTE_2021_STR;ANO_INGRESSO_2021_DATE;PEDRA_2021_STR;INDE_2021_NUM;IAA_2021_NUM;IEG_2021_NUM;IPS_2021_NUM;IDA_2021_NUM;IPP_2021_NUM;REC_AVA_1_2021_STR;REC_AVA_2_2021_STR;REC_AVA_3_2021_STR;REC_AVA_4_2021_STR;PONTO_VIRADA_2021_STR;IPV_2021_NUM;IAN_2021_NUM;NIVEL_IDEAL_2021_STR;DEFASAGEM_2021_NUM;SINALIZADOR_INGRESSANTE_2022_STR;ANO_INGRESSO_2022_DATE;BOLSISTA_2022_STR;INDE_2022_NUM;CG_2022_INT;CF_2022_INT;CT_2022_INT;PEDRA_2022_STR;DESTAQUE_IEG_2022_STR;DESTAQUE_IDA_2022_STR;DESTAQUE_IPV_2022_STR;IAA_2022_NUM;IEG_2022_NUM;IPS_2022_NUM;IDA_2022_NUM;NOTA_PORT_2022_NUM;NOTA_MAT_2022_NUM;NOTA_ING_2022_NUM;QTD_AVAL_2022_INT;IPP_2022_NUM;REC_AVA_1_2022_STR;REC_AVA_2_2022_STR;REC_AVA_3_2022_STR;REC_AVA_4_2022_STR;INDICADO_BOLSA_2022_STR;PONTO_VIRADA_2022_STR;IPV_2022_NUM;IAN_2022_NUM;NIVEL_IDEAL_2022_STR
1027;ALUNO-1027;Rede Decisão/União;15;4;Veterano;2016;5G;5;G;Sim;8.07;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.75;9;4.375;6.333;8.906;9;10;6;C;Rede Decisão;Veterano;2016;Ágata;5.672;7.5;3.9;0;6.8;7.1;Mantido na Fase atual;Promovido de Fase;Não avaliado;Promovido de Fase;Não;5.4;10;Nível 6 (2o EM);0;;null;;null;null;null;null;;;;;null;null;null;null;null;null;null;null;null;;;;;;;null;null;
1028;ALUNO-1028;Escola Pública;12;1;Veterano;2019;2C;2;C;Não;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.5;9.1;7.5;7.5;7.917;7.111;5;2;D;Escola Pública;Veterano;2019;Ametista;6.917;8.4;5.4;7.5;7.1;7.5;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7.8;5;Nível 3 (7o e 8o ano);-1;Veterano;2019;Não;6.943;509;64;8;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.917;6.667;4.375;7.444;5.333;8.5;8.5;4;7.5;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;Não;5.708;10;Fase 3 (7º e 8º ano)
1029;ALUNO-1029;Escola Pública;10;1;Veterano;2019;1D;1;D;Sim;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.5;8.7;7.5;9;8.125;9;5;2;P;Escola Pública;Veterano;2019;Topázio;8.782;9;7.9;7.5;8.4;9.2;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não avaliado;Sim;9.7;10;Nível 2 (5o e 6o ano);0;Veterano;2019;Sim;7.928;161;25;6;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.75;8.915;7.5;5.778;5.333;7.167;4.833;4;7.812;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Promovido de Fase + Bolsa;Não;Não;7.917;10;Fase 3 (7º e 8º ano)
1030;ALUNO-1030;;;;;;;;;;;;;;;;;;;;;;;;;;;null;;null;null;null;null;null;null;;;;;;null;null;;null;Ingressante;2022;Não;6.875;531;82;6;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8.5;8.283;7.5;5.75;6;5.5;null;3;6.458;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;6.611;5;Fase 3 (7º e 8º ano)
1031;ALUNO-1031;Escola Pública;8;0;Ingressante;2020;0B;ALFA;B;Sim;9;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9;10;7.5;10;7.5;8.833;10;1;B;Escola Pública;Veterano;2020;Topázio;8.863;9.5;10;7.5;8.1;7.5;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Sim;9;10;Nível 1 (4o ano);0;Veterano;2020;Não;7.95;155;38;5;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.5;10;7.5;8.833;8.667;9;null;3;5.833;Promovido de Fase;Promovido de Fase;Promovido de Fase;;Não;Não;7.5;5;Fase 2 (5º e 6º ano)
1032;ALUNO-1032;;;;;;;;;;;;;;;;;;;;;;;1;R;Escola Pública;Ingressante;2021;Ametista;7.451;10;8.3;7.5;5.1;8.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.3;5;Nível 3 (7o e 8o ano);-2;;null;;null;null;null;null;;;;;null;null;null;null;null;null;null;null;null;;;;;;;null;null;
337;ALUNO-337;Rede Decisão/União;14;4;Veterano;2016;5B;5;B;Sim;9;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.333;9.9;10;7;9.167;9.111;10;5;B;Rede Decisão;Veterano;2016;Ametista;7.661;7.5;8.1;7.5;7.3;8.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não;8.5;5;Nível 6 (2o EM);-1;Veterano;2016;Sim;7.124;449;12;12;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;0;7.58;8.125;7.989;7.667;6.3;10;4;8.75;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;Sim;9.111;5;Fase 7 (3º EM)
1034;ALUNO-1034;Escola Pública;11;1;Veterano;2019;2N;2;N;Não;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8;8.5;7.5;5.5;8.125;7.944;10;2;M;Escola Pública;Veterano;2019;Ametista;7.679;8;9.2;7.5;5.8;8.3;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não avaliado;Sim;9;5;Nível 3 (7o e 8o ano);-1;Veterano;2019;Não;7.496;314;47;3;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9.5;9.49;7.5;6.633;5.433;7.833;null;3;6.042;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;;Não;Não;7.333;5;Fase 3 (7º e 8º ano)
1035;ALUNO-1035;Escola Pública;10;0;Ingressante;2020;1C;1;C;Não;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.5;9.4;7.5;10;7.5;7.167;5;1;C;Escola Pública;Veterano;2020;Ametista;7.718;9.5;7.9;6.9;6;8.8;Promovido de Fase;Mantido na Fase + Bolsa;Promovido de Fase;Não avaliado;Sim;9.6;5;Nível 2 (5o e 6o ano);-1;;null;;null;null;null;null;;;;;null;null;null;null;null;null;null;null;null;;;;;;;null;null;
1036;ALUNO-1036;Escola Pública;12;0;Ingressante;2020;1E;1;E;Não;5;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.417;3.3;6.875;0;6.458;6.833;5;;;;;null;;null;null;null;null;null;null;;;;;;null;null;;null;;null;;null;null;null;null;;;;;null;null;null;null;null;null;null;null;null;;;;;;;null;null;
